,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,5158.0,3151.0,1250.0,339.0,84.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3169.0,3279.0,2236.0,947.0,278.0,77.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1233.0,2167.0,2992.0,2224.0,961.0,327.0,76.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,337.0,1029.0,2177.0,2982.0,2100.0,973.0,300.0,82.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,83.0,298.0,967.0,2178.0,2987.0,2129.0,961.0,315.0,68.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,18.0,66.0,296.0,924.0,2226.0,2960.0,2120.0,1036.0,270.0,70.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,9.0,69.0,318.0,942.0,2140.0,2959.0,2133.0,1024.0,308.0,82.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,13.0,75.0,304.0,979.0,2145.0,2910.0,2220.0,960.0,288.0,84.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,11.0,97.0,311.0,1002.0,2139.0,2942.0,2114.0,959.0,334.0,73.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0,20.0,70.0,322.0,958.0,2145.0,3014.0,2120.0,993.0,279.0,69.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0,1.0,16.0,85.0,320.0,931.0,2164.0,2999.0,2079.0,977.0,337.0,71.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,4.0,13.0,69.0,312.0,959.0,2075.0,3025.0,2168.0,988.0,302.0,67.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,56.0,307.0,1039.0,2121.0,2919.0,2140.0,999.0,300.0,88.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,68.0,323.0,982.0,2176.0,2900.0,2189.0,972.0,280.0,83.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,85.0,286.0,990.0,2173.0,2883.0,2180.0,1006.0,289.0,72.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,70.0,305.0,999.0,2159.0,2894.0,2116.0,1044.0,305.0,77.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,79.0,306.0,1026.0,2232.0,2943.0,2078.0,954.0,284.0,63.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,55.0,279.0,918.0,2199.0,2975.0,2171.0,1005.0,295.0,78.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,74.0,325.0,971.0,2109.0,3012.0,2131.0,974.0,304.0,69.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,289.0,1022.0,2088.0,2968.0,2180.0,980.0,290.0,76.0,17.0,1.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,72.0,296.0,984.0,2143.0,2955.0,2169.0,969.0,296.0,85.0,17.0,2.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,79.0,321.0,966.0,2105.0,2928.0,2218.0,952.0,326.0,73.0,17.0,1.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,63.0,319.0,996.0,2180.0,2876.0,2164.0,999.0,304.0,72.0,14.0,2.0,0.0
